source,keyword,title,company,industry,location,employment_type,experience,skills,salary,deadline,url,crawled_at,description
잡코리아,데이터분석,2026년 신한캐피탈 신입사원 공개채용,신한캐피탈㈜,,서울 중구,정규직(수습 3개월),0,,회사 내규에 따름,2026-06-21,https://www.jobkorea.co.kr/Recruit/GI_Read/49274549,2026-06-12 09:32,홈페이지 입사 지원하기
잡코리아,데이터분석,본사 PI팀 데이터분석 (대리급),매일유업㈜,,서울 종로구,정규직,,"SQL, Python, Databricks",회사 내규에 따름,2026-06-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49176307,2026-06-12 09:32,"본사 PI팀 데이터분석 (대리급)

포지션 및 자격요건

데이터 분석

(Databricks)

	

담당업무

ㆍDatabricks 환경에서 M/L, AI 서비스 활용 데이터 분석

ㆍ현업 사용자에 안정적인 서비스 제공

ㆍ생산/영업/구매 등 주요 영역에서 발생되는 이슈를 Data에 의해 식별

ㆍ식별된 문제를 개선하기 위한 필요한 기술 및 자원을 고려 개발요건 정의

ㆍ정의된 개발요건에 대해 M/L, AI를 적용하여 개선방안 및 일정 상세화




필수사항

ㆍ학사 이상

ㆍ데이터분석 경력 4년 이상 보유하신 분

ㆍDatabricks 환경에서 데이터 분석 실무 경험

ㆍDatabricks, SQL, Python 필수




우대사항

ㆍ제조/유통 도메인 데이터 분석 경험 우대


ㆍSAP Dataphere, SAC 또는 SAP ERP 데이터 구조 이해 우대




근무지

ㆍ서울 본사(광화문)




기타사항

ㆍ접수기간 : 2026. 05. 13 ~ 2026. 06. 12  23:59

ㆍ접수방법 : 당사 채용 홈페이지를 통한 온라인 지원

ㆍ자세한 상세요강은 반드시 채용 홈페이지에서 직접 확인해 주시기 바랍니다.





   기업 채용 홈페이지 바로가기 click   "
잡코리아,데이터분석,[진학사] 데이터분석 인재 채용 (경력무관),㈜진학사,,서울 종로구,정규직(수습 3개월),,,"회사 내규에 따름
(면접 후 결정)",2026-06-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49285348,2026-06-12 09:32,
잡코리아,데이터분석,데이터분석태깅/기획,콘센트릭스서비스코리아,,서울 강남구,정규직(수습 3개월),1,"Google Analytics, Adobe Analytics","회사 내규에 따름
(면접 후 결정)",2026-06-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49259969,2026-06-12 09:33,"	모집분야
데이터분석태깅/기획
	
글로벌 닷컴 웹페이지 및 앱 신규 런칭/변경에 따른 데이터 수집을 위한 태깅 기획
Google Analytics 및 Adobe Analytics 활용 Web/App 데이터 QA, 분석 및 Tool Admin
고객사 해외법인 고객들과 커뮤니케이션 및 Task 일정/이슈 관리
	
꼼꼼한 업무 처리 능력과 능동적인 마인드
비즈니스 영어 가능하신 분
GA/AA 데이터분석 분야에서 성장을 하고 싶으신 분
전략적이고 구조화된 데이터 기반의 사고를 보유하신 분
유관부서 및 타 Agency와 원활하고 명확한 커뮤니케이션 역량을 보유하신 분
엑셀, 파워포인트 활용 가능하신 분
	
Google Analytics 또는 Adobe Analytics 경험
이커머스에 대한 높은 이해도 및 프로젝트 경험
Html 등 웹페이지와 앱 구조, 데이터 수집 등에 대한 이해
Jira/Confluence/CMS(AEM) 활용 경험

장애인을 우대하고 있는 포지션입니다.
지원서에 관련 내용 기재해 주시면 적극 반영할 예정입니다.
또한 관련 규정에 따라 입사시 별도의 수당이 지급되오니 이 점도 참고 부탁드립니다."
잡코리아,데이터분석,[보람그룹] CRM 데이터분석(DA) 채용,보람상조개발㈜,,서울 중구,계약직(협의),3,"SQL, Tableau, Power BI, KPI, 전환율","회사 내규에 따름
(면접 후 결정)",2026-08-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49346658,2026-06-12 09:33,"






보람상조개발㈜는 1991년에 설립된 회사로 자본금 15억원, 매출액 947억, 사원수 300명 규모의 중견기업입니다. 서울 중구 세종대로 73 (서소문동, 태평로빌딩)에 위치하고 있으며, 장례 및 결혼 예식 서비스, 회갑, 돌 행사진행사업을 하고 있습니다.

포지션 및 자격요건






















데이터분석(DA)

( 0명 )

	

■ 주요 업무

1) CRM 데이터 분석 및 리포트 작성 (일, 주, 월, 분기,년간)

2) 인바운드/아웃바운드 상담 데이터 및 DB 성과 분석

3) DB 분석 및 운영 지원

4) 유입 경로(광고/마케팅/해지 고객 등)별 성과 분석

5) DB 세분화 및 운영 개선 지원

6) 상담 및 영업 성과 분석

7) 상담사별/캠페인별 전환율 분석

8) 성과 저해 요인 도출 및 개선 방향 제시

9) 데이터 기반 운영 지원

10) KPI 지표 관리 및 정기 리포트 작성

11) 데이터 기반 의사결정 지원

12) 유관 부서 협업

13) 영업/CS 조직과 협업하여 데이터 기반 개선안 도출

 

■ 자격 및 우대요건

[필수요건]

1) 데이터 분석 또는 관련 업무 경력 2~5년

2) 엑셀(필수), SQL 등 데이터 추출 및 분석 가능자

3) 숫자 기반으로 문제를 정의하고 개선 방향을 제시할 수 있는 분 

4) 데이터를 이해하기 쉽게 정리 및 커뮤니케이션 가능한 분




[우대요건]

1) CRM / 콜센터 / 아웃바운드 세일즈 데이터 분석 경험자

2) Tableau, Power BI 등 BI툴 사용 경험자

3) DB 기반 마케팅/운영 경험자

4) 유관 부서와 협업 경험이 있는 분

전형절차

ㆍ서류전형 > 1차면접 > 2차면접  > 최종합격

ㆍ면접일정은 추후 통보됩니다.




유의사항

ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.


"
잡코리아,데이터분석,메리츠화재해상보험㈜ [디지털전환팀] 경력직 채용,메리츠화재해상보험,,"서울 강남구, 용산구",정규직,3,,회사 내규에 따름,2026-06-21,https://www.jobkorea.co.kr/Recruit/GI_Read/49351094,2026-06-12 09:33,"	모집부문 및 지원자격
모집부문 및 지원자격 정보
구분	모집부문	인원	업무영역	지원자격 및 우대사항
일반직군
(정규직/경력)	AI Engineer	0명	
[AI Specialist, AI Engineer]
AI 관점에서의 비즈니스 문제 정의 및 AI서비스 개발
보험 업무의 핵심 문제를 AI관점에서 설계
현업의 판단/추론 과정을 Agent와 기계학습을 통해
모델링
비정형문서 분석/활용 플랫폼 구축
LLM/NLP/OCR/Parsing 기술을 활용하여
문서 구조화
문서이해 ⇒ 판단지원 ⇒ 업무자동화 단계별 개발
현업과의 협업을 통한 AI서비스 개발/운영/고도화
현업 담당자의 긴밀한 소통을 통한
개발/운영/품질개선
현업에 직접 적용하는 AI 서비스 구축 및 운영
로그/피드백/사례를 반영한 지속적인 개선

근무지역: 서울(강남)

	
지원자격
관련 경력 3년 이상
대학졸업(4년) 학사 이상
필요 역량
AI 방법론 기반의 문제 해결 역량
LLM 기반 AI시스템 구현 역량
정형/비정형 데이터 활용 기술 역량
현업과의 협업 및 커뮤니케이션 역량
우대사항
기술 실험이 아닌 업무 변화에 기여하는
AI를 만들고 싶은 분
사람의 판단과 추론을 모델링하는데 관심있는 분
금융 도메인의 업무 환경에 대한 이해와 적응력
LLM 서비스 플랫폼 구축 경험
GPU 기반 K8S 인프라 구축 경험

일반직군
(정규직/경력)	AI 디지털전환
전략 및 기획	0명	
[AI 컨설팅, AI PO]
AI 디지털전환 전략 수립 및 컨설팅
전사 AI/디지털전환 로드맵 및 체계적인 추진
전략 수립
AI확산에 따른 일하는 방식의 혁신을 주도하고
변화 관리 방안을 수립
AI기본법 등 관련 규제 대응을 위한 대응 방안
구체화
비즈니스 문제 해결 및 AI 프로젝트 주도(PO)
보험 비즈니스의 핵심문제를 발굴하고 AI기술
기반의 해결 과제를 정의
과제 기획 및 관계자 간 조율을 통한 과제 리딩
현업과의 협업 및 AI 과제 운영
현업 담당자의 긴밀한 소통을 통한 비즈니스 목표 및
요건기획
AI서비스의 품질 향상 및 안정적 운영 주도

근무지역: 서울(강남)

	
지원자격
관련 경력 3년 이상
대학졸업(4년) 학사 이상
필요 역량
AI / 디지털 추진 전략 수립 역량
AI 서비스/프로젝트 기획 역량
AI 확산을 위한 월활한 협업 및 커뮤니케이션 역량
AI관련 PO역량 및 목표 달성 추진력
우대사항
AI 관련 프로젝트를 주도적으로 경험한 분
AI 기술 기반의 비즈니스 가치 창출과 업무변화에
기여하고자 하는 분
금융 도메인의 업무 환경에 대한 이해와 적응력
복잡한 문제를 논리적으로 정리하여 해결책을
제시하는 능력이 뛰어나신 분

일반직군
(정규직/경력)	장기보상
자동화/AI도입	0명	
[프로세스 개선, AI/디지털 기술 활용 업무 효율화]
프로세스 개선, 자동화, AI관점에서의 비즈니스 혁신
장기보상 프로세스 효율화 관점 문제 정의,
자동화 과제 도출
기존 시스템의 개선 및 AI 기술도입을 통한
개선/효율화
개선 도출과제 수행을 위한 요건정의 및
AI테크와의 협업
데이터 분석 & 분석 결과를 바탕으로 예측 모형
개발 및 실무적용
보험금 청구 데이터, 메디컬정보 분석을 통한
보험금심사 지원
주요 지표를 개선하기 위한 프로세스 설계 및
모델링 작업

근무지역: 서울(서울역)

	
지원자격
관련 경력 3년 이상
대학졸업(4년) 학사 이상
필요 역량
AI 방법론 기반의 문제 해결 역량
정형/비정형 데이터 활용 기술 역량
현업과의 협업 및 커뮤니케이션 역량
우대사항
기술 실험이 아닌 업무 변화에 기여하는
AI를 만들고 싶은 분
사람의 판단과 추론을 모델링하는데 관심있는 분
보험 및 금융 도메인의 업무 환경에 대한
이해와 적응력

공통사항	
병역을 필하였거나 면제된 분
해외여행에 결격사유가 없는 분

경력 입사자의 경우 처우사항은 최종합격시 협의 예정

모집부문은 인터뷰 및 채용 진행과정에서 변경 가능하며, 초기 지원분야에 국한하지 않고 협의될 수 있음

	
전형방법
서류전형
 
면접(1, 2차)
 
신체검사
 
입사
	
입사지원 방법
지원방법 : 당사 채용홈페이지 지원 https://recr"
잡코리아,데이터분석,퍼포먼스마케터AE(신입),㈜이엠넷,,서울 구로구,정규직,0,,회사 내규에 따름,2026-06-21,https://www.jobkorea.co.kr/Recruit/GI_Read/49281034,2026-06-12 09:33,"㈜이엠넷 퍼포먼스마케팅AE (신입채용)
	모집분야 및 자격요건
모집분야 및 자격요건 정보
모집분야	담당업무	자격요건 및 우대사항	근무지역
퍼포먼스
마케팅 AE
(신입채용)	
퍼포먼스 캠페인 운영
DA, SA, SNS 등의 퍼포먼스 캠페인 운영
(입찰, 광고 세팅, 소재기획 등 퍼포먼스 광고 운영)
그 외 성과를 높일 수 있는 다양한 마케팅 영역 운영
데이터 분석 및 리포트 작성
일간/월간 성과 리포트 작성
데이터분석 및 인사이트 도출
	
[자격요건]
4년제 대학 졸업 이상
디지털 및 퍼포먼스 마케터의 꿈을 가지고 있는 분
원활한 커뮤니케이션 능력과 문제 해결력,
분석적 사고 능력이 있으신 분
[우대사항]
엑셀, 파워포인트 등 오피스 고급 활용 능력을 보유하신 분
생성형 AI 등 AI 툴을 잘 활용하고 있는 분
	서울
본사
	
전형절차

	
접수마감일
6월 1일 ~ 6월 21일까지
	
지원방법
잡코리아 온라인 지원
	
문의처
인사담당자 : 02-2037-1444/job@emnet.co.kr"
잡코리아,데이터분석,[캐시워크-병역특례] 데이터분석 병역특례 대상자 모집,넛지헬스케어㈜,,서울 강남구,"병역특례(현역, 보충역, 전문연구요원, 산업기능요원, 전직가능)",,"SQL, BigQuery, 전처리, Google Analytics, A/B, KPI, Funnel, Cohort, Python","회사 내규에 따름
(면접 후 결정)",상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49323956,2026-06-12 09:33,"[넛지헬스케어] 
데이터분석 담당 병역특례대상자 모집



회사소개

- 넛지헬스케어는 행동경제학 이론을 실생활에 적용하여 비만, 당뇨, 고혈압과 같은 만성질환을 예방하고 관리할 수 있도록 돕는 것을 목표로 2016년 설립되었습니다.

- 현재는 대한민국 국민 3명 중 1명이 사용하고 있는 국민 건강앱 [캐시워크]를 개발한 디지털 헬스케어 스타트업 입니다.




지원해야 하는 이유

- 전 세계 2,000만 다운로드가 넘는 서비스를 직접 기획/개발/운영하는 경험을 할 수 있습니다.

- 2022년 기준 약 800억원의 매출과 100억원의 영업이익을 기록한 재무적으로 튼튼한 기업입니다.

- 2023년 한국투자파트너스와 신한금융그룹으로부터 300억원을 투자받아 글로벌로 급격하게 성장하고 있습니다.

⇒ 미국, 캐나다, 영국, 프랑스, 이탈리아, 스페인, 독일에서 200만 다운로드 돌파

- 2022년 강남역 4번출구 바로 앞에 사옥을 매입하여 쾌적한 근무환경을 조성했습니다.

⇒ 1층에 임직원 용 카페테리아를 운영 중입니다. (전 메뉴 50% 무제한 할인)




관련기사

- 포브스코리아 2025 소비자 선정 최고의 브랜드 대상 - 캐시워크

- 캐시워크 이용자들 걸음 수 모으니…""지구-태양 29번 왕복""

- 넛지헬스케어, 서울시·삼성전자와 통합건강관리 돕는다

- `국민 만보기` 캐시워크, 북미 1위 찍고 日 간다

- 넛지헬스케어 ‘캐시워크’, 지난해 1110억 회 실행…헬스케어 플랫폼 1위

- ‘캐시워크 운영사’ 넛지헬스케어, 2023년 매출 1000억 돌파

모집분야 및 자격요건

데이터그로스팀
( ○명 )

	

담당업무

ㆍSQL을 사용한 데이터 추출 및 전처리를 통한 지표 관리

ㆍ주요 지표(KPI) 설계 및 대시보드 개발·관리

ㆍFunnel 분석, Cohort 분석, AARRR 분석을 통한 인사이트 도출

ㆍ서비스 개선을 위한 가설 수립 및 검증




자격사항

ㆍ병역특례 대상자

ㆍSQL (Bigquery), Python 등을 이용해 데이터 추출/가공/분석을 능숙하게 하실 수 있는 분

ㆍData-Driven 커뮤니케이션이 가능하신 분

ㆍFunnel, AARRR, Cohort 분석 등 데이터 분석 방법에 대한 지식과 경험이 있으신 분




우대사항

ㆍGCP(BigQuery), Google Analytics 사용 경험이 있으신 분

ㆍ데이터 기반으로 서비스 품질 향상 및 마케팅 성과에 기여한 경험이 있으신 분

ㆍ데이터에 기반한 가설을 세워 A/B Test를 설계하고 진행해보신 분

ㆍ머신러닝 또는 예측 분석 경험이 있으신 분

ㆍ대용량 데이터 처리 경험이 있으신 분




근무조건 및 지원방법

ㆍ근무형태: *전문연구요원, 산업기능요원 (수습기간 3개월)

ㆍ근무조건: 주 5일(월-금), 오전9시~오후6시 (시차출퇴근제) 

ㆍ근무지역: (06242) 서울 강남구 역삼로1길 8, 넛지캠퍼스빌딩(역삼동) 

ㆍ지원방법: 홈페이지 지원 [바로가기]




전형절차

ㆍ서류전형  > 코딩테스트 > 1차 인터뷰 > 2차 인터뷰 > 처우협의 및 최종합격

⇒ 서류전형 진행 전 자료 요청을 통해 병역특례 대상자 확인을 진행하고 있습니다.

⇒ 전형과정 중 동의를 통해 레퍼런스체크를 진행할 수 있습니다. 

** 당사는 서류합격자에 한해 별도 연락드리고 있습니다. **

  

유의사항




ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ병역특례 대상자를 모집하는 공고입니다. 

ㆍ관련 궁금하신 사항은 아래 채용팀으로 문의 바랍니다.




넛지헬스케어 채용팀

 recruit@cashwalk.io ㅣ 010-7749-6840





"
잡코리아,데이터분석,[캐시워크] 데이터분석 담당 채용전환형 인턴,넛지헬스케어㈜,,서울 강남구,인턴(근무기간 3개월),0,"SQL, BigQuery, 전처리, Google Analytics, A/B, KPI, Funnel, Cohort, Python","회사 내규에 따름
(면접 후 결정)",상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49326262,2026-06-12 09:33,"






[넛지헬스케어]








데이터분석 담당 채용전환형 인턴


회사소개

- 넛지헬스케어는 행동경제학 이론을 실생활에 적용하여 비만, 당뇨, 고혈압과 같은 만성질환을 예방하고 관리할 수 있도록 돕는 것을 목표로 2016년 설립되었습니다.

- 현재는 대한민국 국민 3명 중 1명이 사용하고 있는 국민 건강앱 [캐시워크]를 개발한 디지털 헬스케어 스타트업 입니다.




지원해야 하는 이유

- 전 세계 2,000만 다운로드가 넘는 서비스를 직접 기획/개발/운영하는 경험을 할 수 있습니다.

- 2022년 기준 약 800억원의 매출과 100억원의 영업이익을 기록한 재무적으로 튼튼한 기업입니다.

- 2023년 한국투자파트너스와 신한금융그룹으로부터 300억원을 투자받아 글로벌로 급격하게 성장하고 있습니다.

⇒ 미국, 캐나다, 영국, 프랑스, 이탈리아, 스페인, 독일에서 200만 다운로드 돌파

- 2022년 강남역 4번출구 바로 앞에 사옥을 매입하여 쾌적한 근무환경을 조성했습니다.

⇒ 1층에 임직원 용 카페테리아를 운영 중입니다. (전 메뉴 50% 무제한 할인)




관련기사

- 포브스코리아 2025 소비자 선정 최고의 브랜드 대상 - 캐시워크

- 캐시워크 이용자들 걸음 수 모으니…""지구-태양 29번 왕복""

- 넛지헬스케어, 서울시·삼성전자와 통합건강관리 돕는다

- `국민 만보기` 캐시워크, 북미 1위 찍고 日 간다

- 넛지헬스케어 ‘캐시워크’, 지난해 1110억 회 실행…헬스케어 플랫폼 1위

- ‘캐시워크 운영사’ 넛지헬스케어, 2023년 매출 1000억 돌파

모집분야 및 자격요건

데이터그로스팀
( ○명 )

	

담당업무

ㆍSQL을 사용한 데이터 추출 및 전처리를 통한 지표 관리

ㆍ주요 지표(KPI) 설계 및 대시보드 개발·관리

ㆍFunnel 분석, Cohort 분석, AARRR 분석을 통한 인사이트 도출

ㆍ서비스 개선을 위한 가설 수립 및 검증




자격사항

ㆍSQL (Bigquery), Python 등을 이용해 데이터 추출/가공/분석을 능숙하게 하실 수 있는 분

ㆍData-Driven 커뮤니케이션이 가능하신 분

ㆍFunnel, AARRR, Cohort 분석 등 데이터 분석 방법에 대한 지식과 경험이 있으신 분




우대사항

ㆍGCP(BigQuery), Google Analytics 사용 경험이 있으신 분

ㆍ데이터 기반으로 서비스 품질 향상 및 마케팅 성과에 기여한 경험이 있으신 분

ㆍ데이터에 기반한 가설을 세워 A/B Test를 설계하고 진행해보신 분

ㆍ머신러닝 또는 예측 분석 경험이 있으신 분

ㆍ대용량 데이터 처리 경험이 있으신 분




근무조건 및 지원방법

ㆍ근무형태 : 인턴직- 3개월 후 평가를 통해 정규직 전환 가능

⇒ 정규직 전환 후 계속 근로 가능자 必 : 졸업자 또는 졸업예정자

ㆍ	근무일시	:	주 5일(월~금) 오전 9시~오후 6시 (시차출퇴근제)


ㆍ근무지역 : (06242) 서울 강남구 역삼로1길 8 넛지캠퍼스빌딩(역삼동)

ㆍ급여 : 면접 후 결정 (인턴기간 급여 100% 지급)

ㆍ지원방법 : 홈페이지 지원 [바로가기]




전형절차

ㆍ서류전형  > 코딩테스트 > 1차 인터뷰 > 2차 인터뷰 > 처우협의 및 최종합격

⇒ 전형과정 중 동의를 통해 레퍼런스체크를 진행할 수 있습니다. 

** 당사는 서류합격자에 한해 별도 연락드리고 있습니다. **




복리후생 

ㆍ프리미엄 프라이데이 운영 (매월 마지막 주 금요일 오전 근무만)

ㆍ1층 임직원용 카페테리아 운영 (전 메뉴 50% 무제한 할인)

ㆍ식대 지급 및 복지포인트 제공

ㆍ스낵바 (음료, 스낵 등이 무한 제공)

ㆍ생일 당일 선물 선택 및 오후 반차 제공

ㆍ창립기념일 특별 휴가 제공 (매년 7월 27일)

ㆍ자유로운 연차 사용 분위기 ⇒ 미사용 연차는 수당으로 지급

ㆍ강남 유명 피부과 제휴 (모든 시술 50% 할인 혜택 제공)

ㆍ자유 복장, 회식 및 야근 강요 없음

ㆍ쾌적한 사무실 환경 (신사옥 이전)

ㆍ경조 휴가 및 경조사비 지원

ㆍ장기근속자 포상 "
잡코리아,데이터분석,[(주)브랜드501] 마케팅부문 공개채용 - 신입/경력,㈜브랜드501,,경기전지역 외 10,"정규직, 계약직(협의)",0,,"회사 내규에 따름
(면접 후 결정)",2026-06-25,https://www.jobkorea.co.kr/Recruit/GI_Read/49286037,2026-06-12 09:33,"


홈페이지 지원하기"
