source,keyword,job_label,title,company,industry,location,experience,skills,salary,deadline,url,crawled_at,description
리멤버,데이터분석,데이터 사이언티스트,Search & Recommendation Data Scientist(Intelligence Planning),(주)포티투닷,,경기도 성남시 수정구,7~15년,"SQL, A/B, 가설 검정, 통계, Retention, 전환율, Python, Pandas",,상시채용,https://career.rememberapp.co.kr/job/postings/319506,2026-06-12 09:44,"• 글로벌 사용자 행동 데이터, 검색 로그, 추천 로그, 콘텐츠 메타데이터를 분석해 검색/추천 문제와 개선 기회를 정의합니다.
• 개인화 추천, 검색 랭킹, 사용자 타겟팅, 전환율 예측, 세그먼트 분류를 위한 통계적/ML 모델 방향성과 모델 초안을 설계합니다.
• retrieval, ranking, recommendation, RAG/LLM 검색에 활용될 핵심 feature와 도메인 변수를 발굴하고 데이터 요구사항을 정의합니다.
• 국가 및 지역별 사용자 행동 차이, 데이터 편향, 비즈니스 맥락을 분석해 글로벌 검색/추천 알고리즘의 적용 전략을 제안합니다.
• 신규 알고리즘 또는 모델 후보를 검증하기 위한 offline/online 평가 지표, 실험 설계, A/B test 기반 평가 체계를 수립합니다.
• 분석 결과를 model specification, feature requirement, evaluation protocol로 구조화해 개발팀의 구현과 검증으로 연결합니다. • 통계학, 수학, 산업공학, 계량경제학, 컴퓨터공학 등 정량 분석 분야의 석사 이상 학위 또는 이에 준하는 전문성을 보유하신 분
• 대규모 사용자 행동 데이터 또는 서비스 로그를 기반으로 분석/모델링을 수행해 보신 분
• classification, regression, clustering, ranking, recommendation 중 하나 이상의 모델링 경험이 있으신 분
• 통계적 가설 검정, 실험 설계, A/B test 등 데이터 기반 검증 방법론에 대한 실무 이해가 있으신 분
• 모호한 서비스 문제를 데이터 분석, 모델 방향성, feature, 평가 기준으로 구체화할 수 있으신 분
• 분석 결과를 제품, 서비스, 개발팀이 실행 가능한 형태의 문서와 커뮤니케이션으로 연결할 수 있으신 분 • 검색, 추천, 광고, 커머스, 콘텐츠 플랫폼 등에서 ranking/recommendation 모델을 제안하거나 개선해 본 경험
• 글로벌/다지역 서비스에서 국가별 사용자 행동 차이, 데이터 편향, localization 전략을 분석해 본 경험
• causal inference, uplift modeling, synthetic control, causal impact, multi-armed bandit 등 효과 검증 방법론 경험
• embedding space, semantic search, RAG/LLM 기반 검색 서비스 또는 agent interaction log 분석 경험
• Python, R, SQL, Pandas, Spark 등 분석 도구를 활용해 대규모 데이터를 탐색하고 모델링하는 역량
• nDCG, recall, MRR, CTR, CVR, retention 등 offline/online 지표를 설계하고 서비스 개선으로 연결해 본 경험"
리멤버,데이터분석,데이터아키텍트,[토스뱅크] Data Platform Engineer (Streaming),(주)비바리퍼블리카,,서울특별시 강남구,3년 이상,"SQL, MySQL",,상시채용,https://career.rememberapp.co.kr/job/postings/319487,2026-06-12 09:44,"[합류하면 함께할 업무예요]

• MySQL, MongoDB, Oracle CDC 기술을 활용한 실시간 데이터 파이프라인 및 플랫폼을 개발해요.
• 서버/서비스/앱 로그 등 대용량 메시지 처리를 위한 Kafka, Kafka Connect 기반의 실시간 Data Platform을 운영해요.
• Flink를 활용해 실시간 Data Product를 개발해요.
• 대용량 로그 데이터를 실시간으로 Iceberg 포맷으로 저장하고 유지보수해요. [이런 분과 함께하고 싶어요]

• Kafka Connect, Flink, CDC 기술을 활용하여 실시간 Data Pipeline을 구축해 본 경험이 필요해요.
• Kafka Client를 활용해서 실시간 Data Product를 개발해 본 경험이 있으면 좋아요.
• 운영 요소를 자동화하여 체계적인 시스템으로 만들어낸 경험이 있으면 좋아요.
• 3년 이상 관련 경험이 있는 분을 선호해요. [이력서는 이렇게 작성하시는 걸 추천해요]

• 그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.
• 특히 Kafka 중심의 실시간 데이터 파이프라인을 이해하고 이를 활용해 본 경험을 구체적으로 적어주시면 좋아요.
• 분산 처리 시스템에 대한 이해를 바탕으로 한 Data Engineering 경험을 구체적으로 적어주세요.
• 실제 서비스에 적용하여 개선한 경험이 있다면 결과를 수치로 나타내 주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외해 주세요.)
• 단순히 구축과 개발에서 끝나는 경험이 아닌 트러블슈팅 및 운영, 성과를 적어주시면 좋아요."
리멤버,데이터분석,상품기획,데이터사업 기획 및 영업,(주)유니코써치,,서울특별시 중구,5~15년,"SQL, 통계",,2026-06-22,https://career.rememberapp.co.kr/job/postings/319452,2026-06-12 09:44,"1. 데이터 시장 및 수요처 발굴
외부 데이터시장에 대한 리서치를 바탕으로 새로운 데이터 시장을 지속하여 발굴합니다.
또한, 정부/지자체/공공기관 등의 공공부문 수요처와 민간기업의 신용카드 데이터에 대한 니즈를 파악하고 수요처에 맞는 서비스를 제안합니다.

2. 데이터서비스 기획
삼성카드가 보유한 데이터와 외부 수요처의 비즈니스에 대한 이해를 기반으로 수요처가 자사의 비즈니스에 잘 활용하여 성과를 낼 수 있는 데이터서비스를 기획합니다.

3. 데이터 가공 및 서비스 제공
데이터 수요처의 비즈니스 목적을 면밀히 분석한 후 사내 유관부서와의 협의를 통해 제공 데이터 요건을 확정합니다.
관련 법령 및 내규를 준수하여 비식별화 등데이터 핸들링을 수행하여 최종적으로 수요처에 서비스를 제공합니다. - 총 경력 8 년 이상
※ 석/박사 학위취득(예정)자의 경우 수학기간을 경력기간으로 인정합니다.
- 경력 기간 중 데이터 상품·서비스 판매, 정부/지자체 대상 사업 수행 경력 3 년 이상 보유
- 기본적 통계 지식을 바탕으로 한 데이터 해석 능력
- 리포트 작성 능력 및 커뮤니케이션 스킬
- SQL 을 활용한 데이터 추출 및 분석 능력 - 잠재적인 데이터 수요처 대상 다양한 네트워크 보유
- AI 향 데이터 활용 경험 보유자 우대"
리멤버,데이터분석,퍼포먼스 마케팅,[CJ제일제당] 퍼포먼스 마케팅 데이터 분석가 경력,CJ제일제당(주),,서울특별시 중구,7~12년,"SQL, MySQL, BigQuery, PostgreSQL, 전처리, Tableau, A/B, 통계, KPI, Funnel, LTV, ROAS, Python, Pandas, NumPy",,2026-06-24,https://career.rememberapp.co.kr/job/postings/319450,2026-06-12 09:44,"- 직무 소개

본 포지션은 마케팅 데이터를 단순 집계하는 역할이 아니라 퍼포먼스 마케팅 전반(기획 · 실행 · 분석 · 개선)을 데이터 기반으로 주도하는 End-to-End 오너십을 가진 데이터 분석가입니다.
AI/LLM 기반 워크플로우와 자동화 도구를 적극 활용해 분석 생산성을 극대화할 수 있는 분을 찾습니다.

- 주요 R&R

1) 퍼포먼스 마케팅 데이터 분석 & 의사결정 지원
·  ROAS, CAC, LTV, ROI, CTR, CPC, CVR 등 핵심 KPI 정의 · 모니터링 · 개선 전략 도출
·  캠페인 성과 분석 및 A/B 테스트 설계 · 통계적 검증 · 인사이트 리포트 작성
·  마케팅 funnel 단계별 이탈 진단 및 최적화 제안
·  주요 의사결정 단계에서 데이터 기반 옵션 정리 및 Stakeholder 커뮤니케이션

2) 마케팅 데이터 파이프라인 및 대시보드 구축
·  Meta, Google Ads, TikTok 등 광고 매체 데이터 수집 · 통합 · 전처리 자동화 (Python 기반)
·  Tableau 기반 임원/실무자용 대시보드 기획 및 개발 (KPI 모니터링 체계 구축)
·  Streamlit 등 Python 기반 인터랙티브 대시보드 개발 · 운영

3) 협력 프로젝트 및 Multi-Agent 워크플로우 활용
·  국내외 이커머스 플랫폼 (쿠팡 · 컬리· 아마존) 등 협력광고 및 리테일 데이터 분석
·  콘텐츠/인플루언서 기획팀과 협업한 크리에이티브 성과 분석
·  Claude Code · Cursor 등 AI 코딩 도구를 활용한 분석 · 유관 경력 7년 이상 보유하신 분
· Python을 활용한 데이터 처리 및 분석 실무 경험 (Pandas, Numpy, Matplotlib 등)
· SQL 기반 데이터 추출 및 가공 능력 (BigQuery · MySQL · PostgreSQL 중 하나 이상)
· Tableau 등 BI 툴을 활용한 대시보드 구축 실무 경험
· 디지털 광고 매체(Meta, Google, TikTok 등) 데이터 구조 및 KPI에 대한 깊은 이해
· 데이터 기반 의사결정 및 비즈니스 문제 정의 → 분석 → 인사이트 도출까지 단독 수행 가능
· stakeholder(마케터, 기획자, 임원)와의 명확한 커뮤니케이션 및 리포팅 능력
· 한국어 & 영어 비즈니스 커뮤니케이션 (영문 리서치 자료 독해 및 작성) - 기대 역량 & 마인드셋   

· Ownership: 숫자만 뽑아주는 사람이 아니라, 비즈니스 임팩트까지 책임지는 사람
· Curiosity: 신규 광고 매체 · 신기술(LLM, GEO 등)에 대해 능동적으로 학습
· Communication: 분석 결과를 의사결정권자가 이해할 수 있는 언어로 번역
· Automation-first: 반복 작업은 코드 · AI로 자동화하고 본질적 분석에 시간을 투자"
리멤버,데이터분석,사업분석(BA),Product Data Analyst (경력),네이버웹툰(유),,경기도 전체,5년 이상,"SQL, 전처리, 통계, KPI, 퍼널, Python",,2026-06-28,https://career.rememberapp.co.kr/job/postings/319409,2026-06-12 09:44,"프로덕트 KPI 분석 및 성과 모니터링 체계 고도화
- 프로덕트 성장을 위한 핵심 KPI를 정의하고, 데이터 추출 및 관리 체계를 구축
- 프로덕트&비즈니스 현황을 진단하고 문제를 구조화하여 가설 설정부터 데이터 분석, 인사이트 도출까지 수행
- KPI 모니터링 프로세스를 고도화하고, 주요 인사이트 도출이 가능한 대시보드 구현

프로덕트·BM 개선을 위한 실험 설계 및 분석
- 프로덕트 및 비즈니스 모델 관련 실험을 설계하고, 통계 기반 분석을 통해 효과를 검증
- 프로젝트 방향성과 의사결정을 지원하는 결과 분석 리포트와 인사이트 제공
- 신규 비즈니스를 위한 데이터 구조 설계 및 분석 환경 구축
- 프로젝트 방향성과 의사결정을 지원하는 분석 리포트와 인사이트 제공
- 신규 비즈니스를 위한 데이터 구조 설계 및 분석 환경 고도화 지원 - 5년 이상의 웹/앱 서비스 데이터 분석 경력을 보유하신 분
- SQL 활용 능력이 뛰어나며, 문제 정의부터 가설 설정, 실험 설계, 데이터 전처리, 분석, 시각화, 인사이트 도출까지 분석 전 과정을 주도적으로 수행하실 수 있는 분
- 앱/웹 로그 데이터를 활용한 퍼널 분석 또는 유저 행동 분석 경험이 있으신 분
- 변화가 빠른 환경 속에서 스스로 필요한 업무를 정의하고, 이를 주도적으로 실행하실 수 있는 분
- 논리적이고 설득력 있는 문서 작성 능력과 커뮤니케이션 스킬을 갖추신 분 - 웹툰/웹소설/영화/방송 등 디지털 콘텐츠 산업에 대한 이해도가 높으신 분
- 신규 앱 서비스에 대한 로그/데이터 테이블 설계 경험이 있으신 분
- Product 기획/설계/분석 등 업무 경험이 있으신 분
- Python/R 등을 활용한 대용량 데이터 처리 및 모델링 역량을 보유하신 분"
리멤버,데이터분석,백엔드,[자회사-한국평가정보(KCS)] Product Engineer (4~6년),(주)한국신용데이터,,서울특별시 강남구,4~6년,"SQL, MySQL, PostgreSQL",,상시채용,https://career.rememberapp.co.kr/job/postings/319325,2026-06-12 09:44,"-신규 서비스 Backend / Frontend 설계 및 개발
-크레딧 노트 서비스 개발 및 유지보수
-외부 기관 및 내부 시스템을 대상으로 한 데이터 제공 API 설계 및 개발 기술(지식, 경험)
-Java 기반의 Spring Framework 환경에서 서비스 4년 이상 개발 경험
-React, Next.js 스택으로 서비스 또는 어드민을 개발한 경험
-MySQL, PostgreSQL 등 RDBMS 기반 데이터 모델링 경험
-비즈니스 요구사항을 이해하고, 이를 바탕으로 데이터 모델 및 API를 설계 역량

태도
-백엔드와 프론트엔드 개발의 경계를 두지 않고, 제품 단위로 책임지는 역할을 선호하시는 분
-내부 구성원 및 외부 협업 파트너와 원활하게 커뮤니케이션
-주어진 문제를 끝까지 고민하고 해결하려는 책임감 보유 -데이터 API 서비스를 설계하고 구축해 본 경험
-클린 아키텍처 또는 헥사고날 아키텍처에 대한 이해 또는 실무 적용 경험
-B2B / B2G 서비스 또는 SaaS 개발·운영 경험
-백엔드뿐 아니라 제품 완성도를 위해 프론트엔드까지 함께 고민해 본 경험
-AI를 활용하여 최적의 업무 프로세스를 경험 또는 수립해본 경험"
리멤버,데이터분석,국내공인회계사,[더파운더즈] 재무 계획 및 분석 (FP&A) 시니어 매니저,(주)더파운더즈,,서울특별시 강남구,3~6년,SQL,,2026-07-31,https://career.rememberapp.co.kr/job/postings/288269,2026-06-12 09:44,"[하실 역할은 다음과 같습니다.]
· 각 사업부를 전담하여 사업부 내부의 매출·마케팅·운영 데이터를 폭넓게 활용해 재무 분석과 의사결정을 지원합니다.
· 사업부의 마케팅 액션 및 주요 이니셔티브의 기대효과와 손익 구조를 재무적으로 시뮬레이션합니다.
· 각 사업부의 제품·채널·마케팅 단위의 성과를 재무 관점에서 회고하고, 다음 액션에 활용 가능한 인사이트를 제공합니다.
· 사업부의 데이터 관리 방식과 분석 프로세스를 함께 점검하고, 엑셀 모델링·양식 표준화·분석 구조 개선을 통해 데이터를 더 잘 쓰는 일하는 방식을 만듭니다.
· 사업부가 실행에 집중할 수 있도록 숫자를 ‘설명하는 역할’을 넘어, 더 나은 실행을 이끌어내는 전담 재무 파트너로서 협업합니다. [이런 경험이 있으셔야 합니다.]
· FP&A, 관리회계, 사업관리 등 재무 관련 실무를 통해 사업 단위 손익 분석을 수행해본 경험이 3년 이상 있으신 분
· 제품·채널·마케팅 단위의 성과를 데이터로 분해하고, 재무 관점에서 의미 있는 인사이트를 도출해본 경험이 있으신 분
· 사업부의 주요 액션이나 프로젝트에 대해 사전 손익 시뮬레이션 또는 재무적 효과 분석을 수행해본 경험이 있으신 분
· 복잡한 비즈니스 구조를 엑셀 모델링으로 정리하고, 가정과 시나리오에 따른 결과를 설명해본 경험이 있으신 분
· 사업부 또는 경영진을 대상으로 분석 결과를 보고자료 형태로 정리하고 설명해본 경험이 있으신 분 [이런 경험을 선호합니다.]
· 기본적인 SQL 활용을 통해 기초 데이터를 구성하고 분석이 가능하신 분
· 화장품 및 소비재 글로벌 수출업계에서 FP&A업무를 3년이상 수행한 경험이 있는 분

[이런 성향의 분이 잘 맞습니다.]
· 숫자와 데이터를 목적이 아닌 수단으로 보고, 실행에 도움이 되는 판단과 방향을 제시하는 데서 보람을 느끼시는 분
· 사업부의 맥락과 고민을 이해하려 노력하며, 재무 관점의 논리를 상황에 맞게 정리해 설득력 있게 소통할 수 있는 분
· 정해진 답이나 기존 방식에 머무르기보다, 더 나은 분석 구조와 일하는 방식을 스스로 고민하고 개선하는 분
· 빠르게 변화하는 사업 환경과 의사결정 흐름을 이해하고 이를 재무적 질문으로 재구성할 수 있는 분"
리멤버,데이터분석,전략기획(Corporate),[쿠팡] Eats 세일즈 전략 & 데이터 분석 매니저,쿠팡(주),,서울특별시 강남구,7~13년,"SQL, KPI, Python",,상시채용,https://career.rememberapp.co.kr/job/postings/319239,2026-06-12 09:44,"• Sales & Business 전략기획 및 운영
• 데이터 기반 Business Insight 도출 및 KPI 관리
• 영업 전략 기획 및 실행 지원을 위한 Data Modeling
• Operation Process 혁신을 위한 Data 분석
• Cross-functional 부서 협업 및 Data 기반 현업 지원
• Business Data Infra 고도화 및 품질 관리 • SQL 을 활용한 데이터 추출 및 Python 기반의 데이터 분석/자동화 역량을 보유하신 분
• 데이터 기반으로 문제를 정의하고 실행 가능한 액션으로 전환한 경험을 보유하신 분
• 제안서(PPT) 작성 및 논리적인 스토리라인 구성 역량을 보유하신 분
• 다양한 이해관계자와 협업하며 프로젝트를 실행한 경험을 보유하신 분
• 현업 부서를 이끌 수 있는 리더십을 갖춘 분
• 성과 중심의 사고방식과 데이터 기반의 의사결정이 가능한 분
• 커뮤니케이션 능력과 조직 내 협업 역량이 뛰어난 분 • F&B, O2O, 이커머스 등 플랫폼 비즈니스 경험을 보유하신 분
• 비즈니스 인텔리전스 툴 활용 능력
• 데이터 파이프라인 및 인프라 경험
• 프로세스 혁신 및 프로젝트 리딩 경험"
리멤버,데이터분석,사업전략·기획,전기차 충전 사업 분석 및 전략 담당자,SK일렉링크(주),,서울특별시 강남구,3~7년,KPI,,상시채용,https://career.rememberapp.co.kr/job/postings/319218,2026-06-12 09:44,"3. 합류하면 함께할 업무예요 🧑‍💻

CPO(충전사업)의 핵심 KPI를 관리하고, 숫자와 데이터에 기반한 실질적인 운영 전략 및 상면 수익성 개선 방안을 도출합니다.

충전사업 수익성 분석 및 개선방안 도출 
• 기존 충전 상면(인프라)별 매입/매출 구조 분석을 통한 손익(P&L) 개선 포인트 발굴
• 데이터 검증을 통한 실질적인 충전 사업/운영 전략 수립 및 실행 지원
• 셀 내 요금제 개발 및 부진 충전소 개선 Activity와 연계한 수익 극대화 시너지 창출
가동률 관리 및 이상징후 파악
• 전국 충전 인프라의 월별/주별 가동률 트렌드 점검 및 시각화
• 가동률 하락 및 이상 데이터 발생 시, 원인 분석 및 즉각적인 리스크 아젠다 도출
데이터 기반의 전략적 의사결정 지원
• CPO 사업의 주요 KPI 및 성과 Data 분석, 경영진 의사결정 및 셀 내 주요 회의체 지원용 보고서 작성
• 유관 부서와의 협업 체계를 통해 데이터 기반의 일관된 사업 방향성 점검 4. 이런 분과 함께하고 싶어요 ✨
1) 필수 자격 요건
• 경력 사항: 사업분석, 경영전략, 데이터 분석 등 유관 업무 경력 3년 ~ 7년 차이신 분 (CPO,  IT/플랫폼 기업의 Biz Analytics 경험자 등)
• 학력: 4년제 대학 졸업자 이상
• 핵심 역량: 숫자와 데이터에 대한 감각이 매우 뛰어나고, 객관적인 데이터 검증을 통해 논리를 구조화하여 전략적 산출물(보고서)로 전개할 수 있는 분
• 커뮤니케이션: 복잡한 이슈나 데이터 분석 결과를 직관적으로 구조화하고, 셀 내외 다양한 이해관계자(개발/운영/전략 등)와 원활하게 소통할 수 있는 협업 능력을 갖추신 분 2) 우대 사항 
• 전기차(EV), 모빌리티, 인프라, 에너지 산업 등 관련 도메인 업무 경험이 있으신 분
• 시장 및 데이터 분석 관련 업무 경험이 있으신 분 (플랫폼 가동률 관리, 손익 분석 등)"
리멤버,데이터분석,AI·ML·DL,대기업 상사 부문 데이터 전문가,브리스캔영어쏘시에이츠(주),,서울특별시 전체,5~11년,"SQL, Tableau, Power BI, Python",,2026-06-18,https://career.rememberapp.co.kr/job/postings/319164,2026-06-12 09:44,"- 생산, 판매, 재고, 손익 等 생산 사업장 주요 데이터 분석
- 업무 프로세스와 연계한 핵심지표 정의/분석/활용
ㆍ운영 현황, 병목, 지연, 재고 과부족, 실적 변동 요인 등 분석
ㆍ분석 결과를 의사결정에 활용할 수 있는 형태로 구현
- Tableau 등 BI 도구를 활용한 대시보드 설계/개발
- 사용자가 이해하기 쉬운 화면 구성 및 시각화 구현
- 기존 대시보드 개선(오류 수정, 지표 보완, 사용 편의성 제고)
ㆍ활용 현황 점검 및 사용자 피드백 반영
- SAP, Excel, D/B 等 원천 데이터 수집 및 가공
- Python, SQL 等 활용한 데이터 처리 업무 자동화
- 데이터 오류, 누락, 중복 等 정합성 이슈 개선
- 분석 및 대시보드 활용을 위한 데이터셋 구성 - 국내외 관련 전공자 (학/석사)
- 대리 ~ 과장급 (관련 경력 5 年 이상)
- 영어 회화 상급자 (OPIC IH 이상)
- 데이터 분석, BI 대시보드 개발 관련 실무 경험
- 독립적 프로젝트 관리 및 실행 경험 (필수, 3年 이상)
- Python, SQL을 활용한 데이터 가공/분석 경험
- Tableau, Power BI 等 BI 도구 활용 경험
- BI(Tableau, PowerBI等) 활용한 데이터 분석/시각화 역량
- 프로그래밍 역량 (Python 等) * 데이터사이언스 전공 우대 (소프트웨어, 컴퓨터공학,산업공학)
- 머신러닝, 최적화, GenAI 等 데이터 활용 고도화 과제에 대한 경험/관심 (우대)"
