source,keyword,title,company,industry,location,experience,employment_type,skills,salary,deadline,url,crawled_at,description
사람인,데이터분석,현대카드 고객Credit팀 채용 - 데이터분석 (SQL 등 쿼리),(주)씨아이템프러리,,서울 영등포구,학력무관,계약직,SQL,,2026-06-25,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54131666,2026-06-12 09:31,
사람인,데이터분석,[LG생활건강/서울역] 시장조사 및 데이터분석 단기6개월 모집,(주)맨파워그룹코리아,,서울 중구,학력무관,계약직,,,2026-06-17,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54143717,2026-06-12 09:31,
사람인,데이터분석,데이터분석(CX프로덕트),(주)우아한형제들,,서울 송파구,학력무관,정규직,,,2026-06-30,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54142251,2026-06-12 09:31,
사람인,데이터분석,데이터분석(Business Intelligence),(주)우아한형제들,,서울 송파구,학력무관,정규직,,,2026-06-30,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54142466,2026-06-12 09:31,
사람인,데이터분석,[진학사] 데이터분석 인재 채용 (경력무관),(주)진학사,,서울 종로구,경력무관,정규직,,,2026-06-14,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54044309,2026-06-12 09:31,
사람인,데이터분석,[퍼즐데이터] 데이터분석가 채용(경력),(주)퍼즐데이터,,서울 강남구,경력1년↑,정규직,,,2026-07-08,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54108850,2026-06-12 09:31,
사람인,데이터분석,단일세포·공간전사체 데이터분석 및 파이프라인 개발,(주)디코드셀,,서울 금천구,경력무관,정규직,,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53756402,2026-06-12 09:31,
사람인,데이터분석,[AI/ML 엔지니어 ] AI 스마트클린로드 센서 데이터분석 개발자,(주)영신,,경기 용인시 기흥구,경력무관,계약직,,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54144238,2026-06-12 09:31,
사람인,데이터분석,[Begas] 2026 데이터분석 전문가 신입·경력 모집,(주)베가스,,서울 중구,신입·경력,정규직,,,2026-06-12,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53878331,2026-06-12 09:31,
사람인,데이터분석,블록스퀘어서울 알고리즘 데이터분석 및 디지털 자산 트레이더,블록스퀘어서울,,서울 송파구,학력무관,계약직,,,2026-07-02,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54063256,2026-06-12 09:31,
