date,time,wanted,saramin,jobkorea,remember,total
2026-05-30,23:29,37,557,69,93,756
2026-05-30,23:52,37,557,69,93,756
2026-06-01,22:58,37,557,69,93,756
2026-06-01,22:59,37,557,69,93,756
2026-06-01,23:03,37,557,69,93,756
2026-06-01,23:06,37,557,69,93,756
2026-06-01,23:24,37,557,69,93,756
2026-06-01,23:47,37,557,69,93,756
2026-06-02,00:04,37,557,69,93,756
2026-06-02,00:14,37,557,69,93,756
2026-06-02,09:04,122,139,69,93,423
2026-06-02,09:15,122,139,69,93,423
2026-06-02,11:23,122,143,69,90,424
2026-06-02,13:03,122,143,5,90,360
2026-06-03,12:18,122,143,5,90,360
2026-06-03,12:49,123,145,2,91,361
2026-06-03,16:29,123,145,211,91,570
2026-06-03,17:44,123,145,211,91,570
2026-06-03,17:47,123,145,211,91,570
2026-06-03,17:49,123,145,211,91,570
2026-06-03,18:08,123,145,211,91,570
2026-06-03,18:16,123,145,211,91,570
2026-06-03,18:19,123,145,211,91,570
2026-06-03,18:21,123,145,211,91,570
2026-06-03,18:39,123,145,211,91,570
2026-06-03,18:40,123,145,211,91,570
2026-06-03,18:47,123,145,211,91,570
2026-06-03,18:53,123,145,211,91,570
2026-06-03,19:50,123,145,211,91,570
2026-06-03,20:02,123,145,211,91,570
2026-06-03,21:52,123,145,211,91,570
2026-06-03,23:57,123,145,211,91,570
2026-06-04,10:17,121,139,206,88,554
2026-06-04,11:29,121,139,206,88,554
2026-06-04,15:10,118,144,176,89,527
2026-06-04,16:03,118,144,176,89,527
2026-06-04,16:13,118,144,176,89,527
2026-06-05,17:14,118,142,177,90,527
2026-06-06,16:52,120,143,179,92,534
2026-06-06,17:27,120,143,179,92,534
2026-06-06,18:05,120,143,179,92,534
2026-06-06,18:07,120,143,179,92,534
2026-06-06,19:09,120,143,179,92,534
2026-06-06,19:20,120,143,179,92,534
2026-06-06,19:27,120,143,179,92,534
2026-06-06,19:36,120,143,179,92,534
2026-06-08,09:48,119,124,181,88,512
2026-06-08,16:20,119,124,181,88,512
2026-06-09,09:53,123,126,184,93,526
2026-06-10,09:44,123,131,186,95,535
2026-06-11,09:45,123,137,182,98,540
2026-06-12,09:44,115,138,183,101,537
