date,total_jobs,new_jobs,closed_jobs,wanted_count,saramin_count,jobkorea_count,remember_count,insurance_jobs,top_skills,it_jobs,finance_jobs
2026-05-30,756,0,0,37,557,69,93,1,"{'SQL': 143, 'Python': 127, '통계': 63, 'Tableau': 47, 'KPI': 47}",24.0,1.0
2026-06-01,756,0,0,37,557,69,93,1,"{'SQL': 143, 'Python': 127, '통계': 63, 'Tableau': 47, 'KPI': 47}",24.0,1.0
2026-06-02,360,5,69,122,143,5,90,60,"{'SQL': 123, 'Python': 103, 'Tableau': 41, '통계': 38, 'KPI': 35}",,
2026-06-03,437,0,0,85,145,116,91,39,"{'SQL': 219, 'Python': 181, '미확인': 141, '통계': 77, 'A/B': 64}",,
2026-06-04,420,0,0,97,143,97,83,34,"{'SQL': 199, 'Python': 159, '미확인': 138, '통계': 64, 'Tableau': 56}",,
2026-06-05,417,32,35,98,141,94,84,34,"{'SQL': 203, 'Python': 156, '미확인': 136, '통계': 63, 'Tableau': 59}",,
2026-06-06,422,0,0,96,142,98,86,44,"{'SQL': 209, 'Python': 144, '미확인': 137, '통계': 71, 'Tableau': 65}",,
2026-06-08,402,0,0,95,123,102,82,40,"{'SQL': 208, 'Python': 146, '미확인': 118, '통계': 71, 'Tableau': 65}",,
2026-06-09,405,37,34,97,124,97,87,43,"{'SQL': 206, 'Python': 151, '미확인': 119, '통계': 73, 'Tableau': 62}",,
2026-06-10,418,30,17,98,129,102,89,45,"{'SQL': 210, 'Python': 157, '미확인': 125, '통계': 78, 'Tableau': 61}",,
2026-06-11,430,28,16,98,135,104,93,48,"{'SQL': 218, 'Python': 160, '미확인': 130, '통계': 83, 'Tableau': 65}",,
2026-06-12,430,37,37,93,136,104,97,49,"{'SQL': 218, 'Python': 162, '미확인': 131, '통계': 92, 'Tableau': 67}",,
